iter,time,Mx,My,Mz,DMx,DMy,DMz,x,y,z,rxx,rxy,rxz,ryx,ryy,ryz,rzx,rzy,rzz
10,3.539556,-9.488984,-12.346121,-12.711517,-1.967784,2.114011,0.013035,-0.264095,-0.0867,0.165811,-0.944677,0.044828,-0.324926,0.074648,-0.950362,-0.30206,-0.322374,-0.309638,0.894539
9,3.596207,-8.541981,-15.191676,-13.716369,0.947004,-2.845555,-1.004852,-0.268861,-0.07277,0.106673,-0.791809,0.175474,-0.58502,-0.066917,-0.984056,-0.164791,-0.604772,-0.09136,0.791141
5,1.878121,-7.188455,-14.904361,-14.753139,1.353526,0.287315,-1.03677,-0.257714,-0.101597,0.09123,-0.742856,0.067412,-0.666048,-0.092569,-0.994702,0.044718,-0.659765,0.094912,0.745454
6,2.306069,-8.792689,-15.083901,-14.330254,-1.604234,-0.179539,0.422885,-0.267416,-0.074469,0.101177,-0.776434,0.193919,-0.599621,-0.019097,-0.967655,-0.251554,-0.629159,-0.183908,0.755206
7,2.530995,-9.755472,-12.862099,-13.754809,-0.962783,2.221802,0.575445,-0.266231,-0.08508,0.144409,-0.904303,0.104414,-0.413925,0.098,-0.90757,-0.408305,-0.418342,-0.409838,0.810569
9,3.409124,-8.119434,-15.376065,-15.452729,1.636038,-2.513966,-1.69792,-0.259737,-0.086231,0.079151,-0.702632,0.183974,-0.687358,-0.029351,-0.98024,-0.195625,-0.709992,-0.117315,0.694369
7,2.590149,-9.079918,-13.934217,-14.464314,-0.960484,1.441848,0.988414,-0.265771,-0.085565,0.116562,-0.831936,0.137419,-0.537586,0.066395,-0.948329,-0.310265,-0.552541,-0.293866,0.779962
7,2.5903,-9.560595,-13.564802,-12.870651,-0.480677,0.369415,1.593664,-0.270073,-0.072125,0.146262,-0.901998,0.136734,-0.409517,0.01761,-0.948963,-0.314895,-0.431733,-0.291287,0.853674
7,2.537849,-7.629054,-14.355511,-13.91846,1.931541,-0.790709,-1.047809,-0.262392,-0.096971,0.112393,-0.813141,0.050452,-0.579876,-0.046243,-0.998696,0.021651,-0.578213,0.044435,0.814675
7,2.491025,-8.354104,-13.252636,-14.713815,-0.72505,1.102876,-0.795355,-0.259245,-0.105445,0.119113,-0.840005,0.038076,-0.541241,0.095065,-0.979357,-0.17839,-0.536975,-0.201344,0.819218
6,2.194653,-9.383245,-12.677408,-14.622984,-1.029141,0.575228,0.090831,-0.262012,-0.098209,0.132392,-0.879726,0.072289,-0.469954,0.147794,-0.911298,-0.384308,-0.456103,-0.407589,0.791101
7,2.493082,-9.658651,-12.525878,-12.810509,-0.275406,0.15153,1.812475,-0.265569,-0.083107,0.162475,-0.938734,0.070323,-0.337393,0.067586,-0.937891,-0.340284,-0.340404,-0.342275,0.87577
4,1.51391,-9.315693,-12.35012,-13.574638,0.342957,0.175758,-0.764129,-0.262326,-0.096014,0.152291,-0.921222,0.033228,-0.387617,0.116011,-0.94137,-0.316802,-0.375462,-0.336852,0.863458
5,1.944686,-9.541244,-12.522201,-14.243216,-0.22555,-0.172082,-0.668578,-0.262857,-0.095632,0.140833,-0.899017,0.068026,-0.432598,0.138235,-0.907575,-0.396484,-0.41963,-0.416289,0.806606
9,3.061693,-8.896797,-15.557291,-15.202424,0.644447,-3.03509,-0.959208,-0.264528,-0.071817,0.083667,-0.713616,0.248213,-0.65509,0.002624,-0.945004,-0.327047,-0.700412,-0.235163,0.673885
12,4.491111,-6.764126,-15.434103,-12.188616,2.13267,0.123188,3.013808,-0.267809,-0.083369,0.116021,-0.814087,0.048285,-0.578732,-0.234963,-0.923056,0.304564,-0.519724,0.38409,0.763126
15,5.410767,-8.185036,-12.612796,-15.555808,-1.420909,2.821308,-3.367192,-0.252447,-0.120099,0.113932,-0.825519,-0.003848,-0.564361,0.162977,-0.966951,-0.196074,-0.545066,-0.253892,0.799026
7,2.568346,-9.150448,-14.060023,-14.715808,-0.965412,-1.447228,0.84,-0.265562,-0.084495,0.111605,-0.817473,0.155242,-0.554651,0.073905,-0.938247,-0.33798,-0.572968,-0.317336,0.75565
7,2.814472,-8.50414,-14.063503,-13.288939,0.646308,-0.00348,1.426869,-0.267412,-0.083855,0.128857,-0.861282,0.092208,-0.499691,-0.011389,-0.992653,-0.12046,-0.507244,-0.098081,0.856203
6,2.158088,-7.71428,-14.441262,-13.453252,0.789859,-0.377759,-0.164313,-0.264782,-0.09151,0.117947,-0.828677,0.058782,-0.556631,-0.06381,-0.997355,0.034811,-0.553287,0.064386,0.830498
7,2.419864,-8.125313,-12.367565,-14.127705,-0.411033,2.073697,-0.674454,-0.255597,-0.115555,0.139096,-0.885016,-0.050749,-0.462786,0.129258,-0.98698,-0.095719,-0.451993,-0.14456,0.88023
6,2.093688,-7.914993,-13.135949,-13.416677,0.21032,-0.768384,0.711028,-0.260648,-0.103958,0.138332,-0.882955,-0.017361,-0.469136,0.044316,-0.999017,0.000739,-0.468803,-0.020143,0.883073
7,2.476208,-7.04942,-12.364482,-15.422995,0.865573,0.771467,-2.006317,-0.244302,-0.13736,0.114912,-0.808084,-0.10852,-0.578985,0.123477,-0.990792,0.055533,-0.579853,-0.026624,0.814286
7,2.543458,-8.688012,-13.748672,-14.037664,-1.638592,-1.38419,1.385331,-0.264892,-0.090528,0.123551,-0.850762,0.089653,-0.517848,0.046056,-0.977474,-0.205968,-0.524756,-0.19912,0.827637
7,2.633064,-7.434229,-15.476948,-14.435219,1.253783,-1.728276,-0.397556,-0.261405,-0.089511,0.088424,-0.731475,0.119731,-0.671274,-0.128632,-0.991679,0.005128,-0.665337,0.090134,0.741082
