q1g,q2g,q3g
-2.423188306057487418e-01,-1.185663527208563189e-01,2.021027456309288650e-01
-2.416192089205973226e-01,-1.187275616997364169e-01,2.040440585776527593e-01
-2.406010042786921599e-01,-1.196505525304840112e-01,2.056434838987774572e-01
-2.396421255042125997e-01,-1.203610427329866867e-01,2.071701354867682976e-01
-2.390549193805288353e-01,-1.200656909845780468e-01,2.088693029922996658e-01
-2.389204617012028464e-01,-1.188351068876382921e-01,2.105025353111295849e-01
-2.390915952988419968e-01,-1.175468922171260255e-01,2.114402943761946874e-01
-2.393410466644856904e-01,-1.171627146063619618e-01,2.111533280868172213e-01
-2.394080097492582437e-01,-1.180832245311812662e-01,2.098123731552539173e-01
-2.390433086618315162e-01,-1.199852036799430310e-01,2.083839160438866189e-01
-2.382144453163491105e-01,-1.221075679994533675e-01,2.078483446235932786e-01
-2.372224969454355958e-01,-1.237667760064539435e-01,2.082898444922127446e-01
-2.363892869577957356e-01,-1.247913048102100297e-01,2.091048989361019017e-01
-2.356209503642986147e-01,-1.255615228889447321e-01,2.100585289390056454e-01
-2.345397524705610248e-01,-1.265875949050427329e-01,2.115076613293690455e-01
-2.330916571996256847e-01,-1.279982931389813117e-01,2.134759075622306712e-01
-2.317768039279457515e-01,-1.293564824575703376e-01,2.152514015882022458e-01
-2.311692362018635538e-01,-1.299343089794161854e-01,2.162496732690383228e-01
-2.313911954587149489e-01,-1.292933854696534657e-01,2.166428313217541035e-01
-2.322030408183377581e-01,-1.276377282021912418e-01,2.167386030539904807e-01
-2.334009240309009303e-01,-1.255941416788922127e-01,2.162997623715902651e-01
-2.348680859973100998e-01,-1.237700980813214169e-01,2.149444658444747691e-01
-2.363393274804083677e-01,-1.225726149350141458e-01,2.128632993965803577e-01
-2.374241848687689838e-01,-1.221571995571850977e-01,2.107913629417313972e-01
-2.379324018670533614e-01,-1.222984321512320810e-01,2.094424601722426615e-01
-2.379578812861216641e-01,-1.225069491187041615e-01,2.092132568521858638e-01
-2.376319382448029982e-01,-1.224741190589722917e-01,2.101760910177654096e-01
-2.369723795238768971e-01,-1.223819128474654960e-01,2.120168078037130421e-01
-2.360015071083082228e-01,-1.227365220960724423e-01,2.140327912340934668e-01
-2.348949761275101467e-01,-1.238685033852207629e-01,2.154551910338390885e-01
-2.339323578403190718e-01,-1.255754489899209014e-01,2.159226423658034411e-01
-2.333058156579590758e-01,-1.272950238695882419e-01,2.156076203675391656e-01
-2.330189844253313658e-01,-1.285979896982601400e-01,2.148804074499277017e-01
-2.329780509649374831e-01,-1.293768635172687920e-01,2.139765599782031680e-01
-2.330384596426191002e-01,-1.296965115334140217e-01,2.131181354925031635e-01
-2.328906608988189908e-01,-1.297509415386252085e-01,2.128320371437808500e-01
-2.321511330033199649e-01,-1.298464147948323044e-01,2.137694281615719893e-01
-2.307933407091103395e-01,-1.301109067152469712e-01,2.160299055183817485e-01
-2.293855291185437351e-01,-1.302283719848270904e-01,2.188291759803465686e-01
-2.286383397105355986e-01,-1.297951264994059994e-01,2.210353410331942492e-01
-2.286920109946114499e-01,-1.289428454060740359e-01,2.221082056362226331e-01
-2.289830584783002776e-01,-1.283760418335702924e-01,2.224441667038745685e-01
-2.288507848601051553e-01,-1.286852907253913103e-01,2.227952734279588509e-01
-2.281974436669240991e-01,-1.297105309426408171e-01,2.234574218417932912e-01
-2.275353473851382535e-01,-1.306504961628671968e-01,2.240853387906445726e-01
-2.274988529435367779e-01,-1.306771628795854179e-01,2.242039220018727796e-01
-2.283943311700498413e-01,-1.293934701675645560e-01,2.236941009872799313e-01
-2.301030576033678277e-01,-1.269018056856704157e-01,2.227915451041360129e-01
-2.321631993125752857e-01,-1.237510212869461224e-01,2.218810219008636730e-01
-2.338797223853541218e-01,-1.208687855816457796e-01,2.213903964992580409e-01
-2.346289055345309182e-01,-1.191848253058830354e-01,2.216325568314678474e-01
-2.342725953948235629e-01,-1.191278800717491815e-01,2.224543531507809091e-01
-2.331808918341526093e-01,-1.204902536570317539e-01,2.232849421833114911e-01
